Device_SN,PartNo_Select,Iop (mA),Ith (mA),Laser Temperature (Top) (C),Slope Efficiency (mW/mA),Optical Power (mW),SMSR (dB),Tracking Error_MIN (dB),Tracking Error_MAX (dB),Thermistor Resistance (Rth) (K-Ohm),B Consttant (K),CNR @ 61.25 MHz (dB),CNR @ 547.25 MHz (dB),CSO (dB),CTB (dB),Chirp (MHz/mW),Monitor Current (micro-A),Frequency Response (dB),
CEKC793,G1752-204-024,58.29,16.77583,30.32,0.249,10.51,43.85,-0.03,0.05,7.956,3955.6,52.1,53.2,42.5,72.9,325.7,302.8,1,
CEKH256,G1752-204-024,82.3,19.65877,30.59,0.164,10.5,49.96,-0.29,0.12,7.843,3944.5,51.7,52.9,41.8,73,338.45,636.6,0.8,
CEKH248,G1752-204-024,73.79,19.83365,30.21,0.189,10.55,50.89,-0.13,0.13,7.978,3947.7,52.2,53.2,40.8,72.4,389.29,354,0.6,
CEKL014,G1752-204-024,77.55,17.13592,31.92,0.171,10.5,49.08,-0.2,0.15,7.42,3949.6,52.2,53.2,40.8,72.5,371.18,601.2,1,
CEKH355,G1752-204-061,58.54,14.75908,27.06,0.232,10.54,49.73,-0.07,0.02,9.124,3939.5,52.9,53.6,41.6,68.9,348.69,302.4,0.5,
CEKG575,G1752-204-052,77.55,17.8678,32.63,0.174,10.53,42.36,-0.06,0.11,7.203,3951.3,52.4,53.7,42.6,73.7,345.69,536.4,1,
CEKG595,G1752-204-052,77.03,17.84842,31.95,0.173,10.54,50.05,-0.11,0.05,7.395,3940.5,52.4,53.8,41.8,72.6,358.69,479.1,0.5,
CEKH344,G1752-204-052,58.29,12.25405,28.07,0.222,10.53,53.57,-0.08,0.02,8.734,3940.7,51.8,53.1,43.3,72.9,343.19,532.8,1,
CEKH398,G1752-204-061,57.28,13.75256,28.69,0.235,10.55,50.23,-0.08,0,8.52,3948.5,52.6,53.4,42,71.4,338.61,369.7,0.5,
CEKG582,G1752-204-052,84.79,17.00622,31.67,0.153,10.51,46.01,-0.15,0.13,7.502,3951.2,52.4,53.4,42.1,74,381.62,707.9,1,
CEKG579,G1752-204-052,78.54,16.94235,31.53,0.167,10.54,52.13,-0.22,0.12,7.556,3956.4,51.9,53.1,42.1,71.2,348.47,601.6,1,
CEKG581,G1752-204-052,84.54,16.66886,31.59,0.152,10.52,52.34,-0.14,0.07,7.517,3945.2,53.1,54.4,41.3,74.4,362.2,769.6,1,
CEKH339,G1752-204-052,62.03,11.89657,28.39,0.205,10.53,50.45,-0.07,0.1,8.627,3946.5,51.2,52.7,42.6,72,359.69,486.1,0.7,
CEKG602,G1752-204-052,85.8,17.10181,31.25,0.151,10.52,50.92,-0.28,0.22,7.614,3938.3,53.1,54.2,41.1,74.5,388.45,493.9,1,
CEKH343,G1752-204-052,63.79,12.76876,25.49,0.198,10.52,49.2,-0.27,0.09,9.762,3934.9,52.4,53.1,41.5,71.5,374.69,458.8,0.6,
CEKG561,G1752-204-052,82.3,14.79829,30.78,0.154,10.51,49.52,-0.11,0.02,7.79,3950,52.2,53.7,42.3,72.7,356.04,864.7,0.6,
CEKG601,G1752-204-052,77.55,20.56147,31.63,0.178,10.51,49.7,-0.13,0.26,7.517,3952.5,52.4,53.2,42,64.9,328.5,319.4,0.8,
CEKH296,G1752-204-052,62.55,14.56583,26.6,0.214,10.52,41.97,-0.18,0.08,9.324,3944.9,52.9,53.9,42.3,74,340.29,400.2,1,
CEKH336,G1752-204-052,53.78,12.24378,26.07,0.249,10.57,42.48,-0.25,0.02,9.535,3941.7,51.7,52.9,42.8,72.9,325.23,335.8,1,
CEKG598,G1752-204-052,80.3,17.7078,31.86,0.164,10.53,50.75,-0.22,0.07,7.429,3943.8,51.7,53.1,42.8,71.2,358.64,472.2,0.6,
CEKK122,G1752-204-026,92.79,17.04472,22.52,0.138,10.51,45.47,-0.06,0.03,11.202,3950.5,51.6,53.1,42.8,72,328.77,661.3,0.7,
CEKK155,G1752-204-026,56.77,14.77151,24.56,0.244,10.55,50.48,-0.12,0.1,10.202,3944.3,51.9,53.1,42.1,71.4,338.15,341.8,0.5,
CEKK149,G1752-204-026,60.54,17.71002,28.77,0.235,10.52,47.06,-0.16,0.07,8.482,3944.7,52.8,53.4,41.1,66.4,383.75,320,0.6,
CEKK147,G1752-204-026,65.29,15.01325,29.51,0.203,10.52,50.94,-0.12,0.17,8.226,3949.7,51.4,52.9,42,71.4,365.03,485.7,0.5,
CEKK101,G1752-204-026,60.79,19.59515,31.38,0.246,10.51,41.55,-0.04,0.14,7.588,3947.2,52.4,52.7,41.5,70,385.38,366.7,0.5,
CEKK106,G1752-204-026,68.04,22.25117,34.33,0.221,10.53,45.83,-0.07,0.08,6.705,3950.3,52.6,53.1,41.1,69.4,387.68,343.6,0.7,
CEKK119,G1752-204-026,82.03,19.60591,31.85,0.163,10.54,49.65,-0.18,0.14,7.419,3936.2,52.4,53.4,41.6,71.7,329.45,598.8,0.5,
CEKK115,G1752-204-026,83.04,20.4331,26.16,0.166,10.5,50.05,-0.21,0.05,9.497,3941.6,51.7,53.2,42,73.7,328.03,635.4,0.9,
CEKJ085,G1752-204-023,90.05,19.92672,31.67,0.15,10.52,52.35,-0.16,0.12,7.491,3944.9,51.9,53.2,42.1,72.4,348.12,826.1,0.7,
CEKC893,G1752-204-029,92.3,16.47805,28.97,0.132,10.53,50.29,-0.1,0.05,8.41,3945.1,52.2,53.4,40,73.4,373.44,1014.5,0.8,
CEKC885,G1752-204-029,77.04,15.5956,32.08,0.162,10.52,48.75,-0.23,0.08,7.36,3943.8,52.7,54.1,40,73.7,380.59,579.9,0.6,
CEKK096,G1752-204-029,64.29,17.00467,25.24,0.215,10.51,50.88,-0.19,0.06,9.908,3947.4,51.9,52.7,41.6,69.9,345.71,274.2,0.5,
CEKD438,G1752-204-029,60.52,16.65723,30.03,0.234,10.53,44.69,-0.21,0.08,8.055,3955.2,52.6,53.4,41.5,73.6,366.65,255.5,0.7,
CEKL113,G1752-204-029,68.28,18.01796,31.14,0.206,10.57,50.25,-0.17,0.11,7.666,3947.2,52.7,53.9,41.8,74.2,344.22,407.7,0.5,
CEKL118,G1752-204-029,61.03,18.1913,28.09,0.243,10.55,52.79,-0.04,0.08,8.725,3940.1,51.7,52.9,42.3,72.5,316.27,444,0.6,
CEKC891,G1752-204-029,78.04,19.7344,29.41,0.18,10.51,47.36,-0.24,0.25,8.264,3950.9,52.2,53.4,42.3,70.6,341.87,603.2,0.6,
CEKK098,G1752-204-029,63.27,15.5392,24.67,0.212,10.5,52.32,-0.07,0.02,10.147,3942.6,52.2,53.2,41.6,70.6,349.13,404.8,0.6,
CEKL143,G1752-204-029,66.29,16.77135,24.53,0.207,10.52,50.82,0,0.18,10.242,3952.5,51.8,52.9,42,71,351.8,459.1,0.6,
CEKG227,G1752-204-023,87.54,22.97587,32.35,0.16,10.5,51.21,-0.25,0.09,7.3,3958.1,51.4,52.9,43.1,70.5,345.44,443.7,0.9,
CEKF430,G1752-204-023,77.03,14.91133,30.29,0.166,10.52,53.93,0,0.15,7.958,3951.4,51.7,53.3,42.1,73,345,597.1,0.6,
CEKH221,G1752-204-029,98.53,18.47498,30.63,0.13,10.51,50,-0.15,0.26,7.841,3950.5,51.4,52.9,43,73.2,336.6,781,1,
CEKC667,G1752-204-023,65.53,19.55814,29.39,0.219,10.52,51.24,-0.04,0.13,8.264,3947.5,52.3,53.3,41,68,328.89,196.3,0.6,
CEKJ116,G1752-204-023,76.79,17.39042,32,0.174,10.54,49.04,-0.12,0.07,7.403,3954.4,52.2,53.2,42.1,73.5,369.04,516.2,0.7,
CEKG266,G1752-204-023,76.04,18.48016,32.94,0.178,10.51,52.36,-0.06,0.07,7.102,3946.6,52.7,53.9,40.5,74,378.56,421.9,0.6,
CEKD610,G1752-204-036,80.79,13.24075,30.52,0.148,10.53,51.36,-0.05,0.1,7.863,3942.7,52.9,54.3,40.3,73,366.55,905,0.9,
CEKD608,G1752-204-036,81.29,13.46523,29.51,0.149,10.52,53.62,-0.06,0.21,8.227,3950.2,52.9,54.4,40.3,71.7,369.5,885.7,0.6,
CEKG234,G1752-204-023,75.29,19.22103,33.75,0.184,10.52,54.36,-0.12,0.13,6.852,3938,51.6,52.8,42.8,72.9,335.67,335.3,0.9,
CEKG547,G1752-204-035,82.58,17.91313,33.29,0.162,10.52,50.83,-0.18,0.11,6.996,3945.2,51.2,52.7,43,72.4,350,638,0.7,
CEKL576,G1752-204-030,71.05,19.66541,26.31,0.197,10.54,52.43,-0.12,0.13,9.443,3944.7,52.8,53.6,40.3,67.5,371.24,227.1,0.6,
CEKD507,G1752-204-033,65.81,14.79391,32.83,0.208,10.52,50.49,-0.26,0.17,7.143,3951.7,52.4,53.6,41.5,66.5,358.17,565,1,
CEKJ087,G1752-204-023,100.84,22.28403,32.77,0.132,10.53,43.99,-0.26,0.3,7.143,3940.2,53.1,54.2,40.3,74.4,384.51,700.4,0.9,
CEKK160,G1752-204-026,59.55,14.9275,25.6,0.23,10.51,50.34,-0.01,0.22,9.725,3938.4,52.6,53.7,41.3,73.4,373.64,348,0.6,
CEKK178,G1752-204-026,62.31,19.80202,30.66,0.24,10.54,46.92,-0.11,0.05,7.818,3943.7,52.6,53.7,41.3,72.5,373.74,273.1,0.9,
CEKG472,G1752-204-029,53.79,13.10145,28.01,0.245,10.56,53.13,-0.14,0.09,8.772,3947,53.3,53.9,41.1,72.2,369.93,400.8,1.1,
CEKJ936,G1752-204-024,69.06,17.42775,32.62,0.199,10.53,46.67,-0.1,0.07,7.211,3954.4,52.2,53.4,42.1,73.5,316.68,526.6,0.7,
CEKJ269,G1752-204-044,72.81,14.59737,30.39,0.178,10.51,50.57,-0.16,0.18,7.917,3947.9,52.6,53.8,41.5,73.5,383.51,475.5,0.8,
CEK6787,G1752-204-058,75.07,16.38693,29.46,0.176,10.52,50.61,-0.07,0.08,8.225,3940.9,52.2,53.6,42.3,72.7,366.92,742.1,0.7,
CEKJ177,G1752-204-024,62.06,16.40438,30.05,0.225,10.51,51.28,0,0.1,8.046,3954.2,52.1,53.1,41.6,72.2,336.6,555.7,0.6,
CEK8096,G1752-204-059,61.56,13.95105,23.84,0.218,10.52,50.59,-0.25,0.18,10.568,3954.1,52.7,53.9,42.1,70.9,310.58,546.1,0.5,
CEKA225,G1752-204-049,89.32,15.87417,28.81,0.134,10.51,48.63,-0.07,0.09,8.476,3948.5,51.4,53.1,41.5,72.2,362.81,961.6,0.9,
CEKJ161,G1752-204-024,60.55,15.45902,30.8,0.229,10.5,49.67,-0.18,0.08,7.781,3948.8,52.1,53.1,42.8,71,310.96,500.1,0.8,
CEKL066,G1752-204-024,71.31,18.33252,30.93,0.193,10.54,46.76,-0.24,0.11,7.746,3953.1,52.1,53.2,42.3,73.5,324.52,425.9,0.6,
CEKD530,G1752-204-033,91.03,15.62853,31.31,0.134,10.51,54.38,-0.15,0.02,7.612,3948,52.2,53.6,41.3,74.1,388.72,500.2,1,
CEKC090,G1752-204-044,59.02,15.24815,32.45,0.235,10.5,52.58,-0.06,0.27,7.252,3947.6,51.9,53.2,43.6,71.9,311.76,338.8,1,
CEKF370,G1752-204-054,54.28,13.70486,24.67,0.252,10.58,49.61,-0.25,0.18,10.14,3940.4,51.9,53.1,42.3,72.1,344.77,368.1,0.8,
CEKH213,G1752-204-029,67.29,18.70207,32.48,0.216,10.5,50.54,-0.06,0.06,7.251,3952.6,51.2,52.7,42.5,72.6,363.42,594,1.1,
CEKJ174,G1752-204-024,67.04,23.01087,29.13,0.235,10.5,50.86,-0.09,0.16,8.368,3952.4,52.6,53.4,41,73.7,364.59,600.7,0.5,
CEKK038,G1752-204-029,61.04,18.3156,29.25,0.243,10.54,51.08,-0.06,0.03,8.301,3941.5,52.8,53.9,42.1,74.6,329.45,465.4,0.6,
CEKK022,G1752-204-029,66.79,18.06751,29.84,0.213,10.51,53.07,-0.16,0.07,8.116,3952.7,53.1,54.2,41,70.6,380.8,566.6,0.7,
CEKE518,G1752-204-029,58.29,17.13521,33.15,0.243,10.54,49.44,-0.23,0.03,7.023,3935.8,52.7,53.4,41.8,71.5,341.79,367.5,0.9,
CEKH127,G1752-204-029,73.3,19.44772,29.7,0.191,10.5,49.36,0,0.15,8.155,3947.8,53.1,54.2,40.6,74.6,362.53,477.7,0.7,
CEKF351,G1752-204-054,54.54,13.09052,25.21,0.249,10.51,47.76,-0.13,0.1,9.909,3943.4,53.1,53.9,41.5,73.7,370.25,408.7,1,
CEKJ131,G1752-204-024,62.54,20.70523,32.73,0.247,10.56,50.72,-0.19,0.08,7.188,3961,51.7,52.6,43.1,73,311.28,570.9,0.6,
CEKG599,G1752-204-052,73.54,19.8805,33.36,0.192,10.54,49.85,-0.02,0.13,6.987,3952.8,51.9,53.1,42.8,73,325.65,460,0.9,
CEKK067,G1752-204-029,62.04,14.40035,30.51,0.215,10.55,52.1,-0.14,0.2,7.881,3950.3,52.9,53.9,41,74.2,340.61,464.4,0.6,
CEKG478,G1752-204-029,53.78,14.45291,29.23,0.253,10.52,50.81,-0.07,0.18,8.332,3952.5,52.2,52.7,42,73.5,359.98,376,1,
CEKJ196,G1752-204-029,58.02,18.61666,27.91,0.262,10.57,49.53,-0.23,0.16,8.815,3949,51.4,52.6,43.3,70.4,312.78,327.2,0.6,
CEKH146,G1752-204-029,66.54,17.44153,27.14,0.212,10.52,43.18,-0.12,0.09,9.113,3947.6,52.1,52.9,41.6,73.5,361.6,478.5,0.7,
CEKL012,G1752-204-024,72.3,16.3052,32.83,0.184,10.5,48.47,-0.11,0.07,7.15,3956.1,52.7,53.7,40.8,73.5,375.27,632.9,0.9,
CEKG476,G1752-204-029,51.28,13.42648,27.47,0.266,10.56,52.11,-0.15,0.03,8.965,3940.7,52.7,53.7,42,73.2,311.55,360.1,1.2,
CEKG594,G1752-204-052,79.29,19.01619,31.57,0.171,10.54,50.21,-0.17,0.06,7.515,3940.4,53.3,54.1,41.5,70.6,343.83,485.8,0.7,
CEKK066,G1752-204-029,71.04,16.52142,27.7,0.187,10.51,50.35,-0.13,0.09,8.891,3946.9,53.1,54.4,40.5,72.4,374.42,545.6,0.7,
CEKJ185,G1752-204-029,67.04,18.41089,28.29,0.212,10.51,49.54,-0.26,0.09,8.663,3945.8,52.1,53.4,42,73,381.94,344.9,0.6,
CEKJ189,G1752-204-029,56.04,17.62677,25.4,0.276,10.55,50.88,-0.16,0.11,9.814,3939.3,53.4,54.6,41,66,330.1,269.9,0.9,
CEKJ186,G1752-204-029,58.53,17.66389,26.17,0.254,10.58,50.58,-0.15,0.14,9.497,3943.1,52.4,53.6,42.8,72.9,340.87,384.9,0.6,
CEKG433,G1752-204-029,67.8,17.92626,30.25,0.194,10.5,51.26,-0.17,0.04,7.952,3941.5,52.7,53.8,39.8,68.5,319.53,668.4,0.6,
CEKJ163,G1752-204-024,79.05,19.80108,30.45,0.176,10.54,51.97,-0.05,0.03,7.878,3938.3,52.1,53.4,41.8,71.4,353.85,617.1,0.9,
CEKK002,G1752-204-029,73.03,21.26648,29.87,0.199,10.51,48.65,-0.09,0.21,8.085,3942.7,52.1,53.2,42,71.9,352.01,504.6,0.6,
CEKK023,G1752-204-029,62.53,18.30141,30.39,0.235,10.53,52.54,-0.06,0.08,7.915,3946.9,52.2,53.6,42,71.4,361.52,509.4,0.7,
CEKG419,G1752-204-024,73.32,16.11756,30.5,0.179,10.51,51.43,-0.24,0.12,7.883,3949.5,52.8,53.7,42,72.4,356.81,540.2,0.8,
CEKH224,G1752-204-029,94.08,20.15893,30.75,0.142,10.54,53.1,-0.05,0.09,7.78,3939.5,52.2,53.5,42,69.8,363.57,434.9,1,
CEKJ178,G1752-204-024,61.79,21.2941,30.66,0.248,10.5,48.05,-0.06,0.1,7.819,3944.2,52.5,52.8,41.7,64.3,341.79,294.1,0.6,
CEKH196,G1752-204-029,80.83,19.4231,31.89,0.169,10.51,47.67,-0.16,0.14,7.42,3944.1,52.7,53.3,41.3,72.1,380.98,568.3,0.7,
CEKJ946,G1752-204-024,81.33,17.17124,34.1,0.162,10.52,48.97,-0.19,0.03,6.771,3951.2,52.8,53.7,41,71.6,376.01,737.7,0.9,
CEKJ184,G1752-204-029,58.3,17.85158,29.14,0.254,10.54,51.99,-0.11,0.06,8.368,3954.1,51.8,52.7,43.5,71.7,324.37,307.7,0.8,
CEKJ123,G1752-204-023,74.53,20.10806,33.88,0.195,10.54,45.82,-0.26,0.16,6.842,3957,52.2,52.8,42,66.8,379.95,688.8,1.2,
CEKG418,G1752-204-024,75.55,16.62334,31.21,0.175,10.51,51.24,-0.15,0.06,7.656,3954.3,52.5,53.3,41.8,72.6,358.82,568.3,0.9,
CEKL044,G1752-204-024,74.28,17.19791,32.02,0.18,10.51,50.47,-0.2,0.15,7.401,3956.9,52.5,53.2,41.5,72.6,385.7,582.5,0.6,
CEKL015,G1752-204-024,76.28,16.01909,31.53,0.172,10.52,48.42,-0.09,0.07,7.56,3958.6,52,53,41.7,71.1,375.46,809,0.8,
CEKH452,G1752-204-062,91.79,20.12427,29.85,0.145,10.51,51.66,-0.09,0.15,8.084,3938.8,52.3,53.3,43,71.6,348.56,693.5,1,
CEKJ188,G1752-204-029,61.03,20.6522,29.14,0.255,10.56,47,-0.15,0.09,8.362,3951.4,51.7,52,43.7,70.4,317.36,382.5,0.6,
CEKJ107,G1752-204-023,100.3,21.76229,32.97,0.131,10.5,50.63,-0.26,0.2,7.096,3948.5,52.7,53.2,40,71.6,389.83,412.7,1,
CEK5532,G1752-204-039,83.29,22.20425,32.27,0.169,10.51,52.95,-0.27,0.12,7.315,3952.2,52.3,53.5,41.8,71.9,375.57,393.2,0.9,
CEKH446,G1752-204-062,61.29,16.86558,29.22,0.23,10.5,43.86,-0.14,0.13,8.337,3953.1,52.2,52.6,43.5,68,376.11,444.7,1,
CEKK241,G1752-204-054,64.29,19.35769,34.41,0.228,10.53,48.74,-0.08,0.08,6.699,3962.3,52.5,53.2,42.5,72.1,380.07,490.5,0.8,
CEKC790,G1752-204-024,61.04,11.76803,25.23,0.21,10.53,53.53,-0.3,0.11,9.909,3946.3,52.6,53.2,41.7,71,375.39,467.2,0.9,
CEKJ239,G1752-204-029,59.03,15.77401,27.63,0.239,10.54,51.9,-0.23,0.16,8.923,3948.9,52.2,53.2,42.5,71.7,338.11,432.8,0.7,
CEKK097,G1752-204-029,59.8,16.25442,26.37,0.234,10.55,50.13,-0.07,0.23,9.413,3942.8,52.9,53.7,41.1,70,354.34,343.4,0.6,
CEKG460,G1752-204-029,92.58,19.1213,30.94,0.141,10.5,52.57,-0.14,0.1,7.746,3954.9,53.5,54.1,40.7,71.6,371.48,433.2,0.6,
CEKC939,G1752-204-029,60.8,15.15637,30.09,0.228,10.51,53.94,-0.01,0.07,8.013,3944.6,51.9,53.4,42.1,71.4,371.3,627,0.6,
CEKH204,G1752-204-029,77.31,20.72858,30.64,0.182,10.52,47.43,-0.21,0.12,7.843,3953.3,53.7,54,40.1,71.8,347.56,524.5,0.6,
CEKH205,G1752-204-029,83.06,19.25042,30.73,0.162,10.5,52.13,-0.09,0.09,7.816,3954.9,53.7,54.3,40.6,72.6,389.61,597,0.9,
CEJH671,G1752-204-029,72.06,20.39188,28.2,0.202,10.53,49.85,-0.18,0.07,8.699,3946.7,52.3,53.4,41.3,72.5,346.14,582.7,0.6,
CEKG481,G1752-204-029,56.8,14.69419,29.97,0.237,10.52,53.02,-0.04,0.02,8.048,3941.5,53.5,54,41.1,73.8,383.69,427.2,0.6,
CEKG518,G1752-204-029,56.28,13.98884,29.01,0.238,10.54,52.97,-0.21,0.04,8.408,3950.8,52.9,53.7,41.5,72.7,363.88,416.4,0.6,
CEKL126,G1752-204-029,60.03,16.45745,26.57,0.237,10.53,42.15,-0.23,0.15,9.328,3941.8,52.7,53.9,42.1,73.7,324.28,400.2,0.5,
CEKK037,G1752-204-029,63.54,18.1969,26.01,0.227,10.52,50.54,-0.24,0.19,9.543,3935.6,53.7,54.3,40.6,74,341.64,453.4,0.6,
CEKG604,G1752-204-052,75.07,17.36966,32.81,0.178,10.53,51.28,-0.1,0.14,7.154,3954.8,52.6,53.9,42.5,72.4,327.78,493.1,0.6,
CEKG590,G1752-204-052,72.81,20.0319,31.97,0.194,10.54,41.65,-0.05,0.03,7.407,3951.2,52.2,53.3,43.2,68.4,351,377,0.6,
CEKG556,G1752-204-052,95.09,19.28607,31.74,0.137,10.52,50.27,-0.11,0.12,7.494,3959.4,53.4,54.4,41,74.2,368.13,531.5,0.6,
CEKH317,G1752-204-052,55.54,13.53356,27.88,0.242,10.52,43.98,-0.21,0.13,8.816,3944.6,52.5,52.5,42.9,72.8,316.51,286.4,0.6,
CEKG591,G1752-204-052,77.82,19.128,33.19,0.175,10.51,47.09,-0.19,0.05,7.02,3941.6,52.2,53.4,42.3,72.5,359.38,495.2,0.6,
CEKE565,G1752-204-029,85.08,20.46248,30.26,0.16,10.52,51.99,-0.21,0,7.952,3943.2,53.7,54.1,40.6,71.9,378.42,694,1,
CEKH341,G1752-204-052,56.04,17.41797,27.22,0.272,10.55,51.47,-0.09,0.06,9.08,3947.2,52.3,53.8,43.3,67.7,319.18,380.6,0.7,
CEKJ231,G1752-204-029,64.8,19.75106,30.52,0.225,10.52,51.1,-0.14,0.26,7.878,3950.5,53.2,53.9,41.2,68.5,346.11,211.9,0.7,
CEKJ151,G1752-204-024,68.05,22.71836,32.76,0.228,10.52,51.85,-0.18,0.15,7.143,3938.3,52.7,53.3,41.7,72.4,350.23,561.8,0.7,
CEKG511,G1752-204-029,64.55,14.47406,26.06,0.203,10.51,52.69,-0.22,0.11,9.485,3922.4,52.7,53.9,40.8,72,372.39,472.8,1,
CEKJ175,G1752-204-024,76.82,22.60742,29.75,0.187,10.53,49.28,-0.01,0.09,8.121,3939.9,53.7,53.6,39.9,70.5,375.29,563.2,0.5,
CEKK019,G1752-204-029,65.56,18.36431,29.86,0.219,10.53,47.22,-0.01,0.06,8.083,3940,52.2,53.1,41.8,71.3,361.97,479.3,0.6,
CEKH323,G1752-204-052,57.8,12.71033,27.75,0.224,10.51,51.71,-0.03,0.16,8.857,3940.9,52.8,53.6,42.4,71.6,381.39,527.9,1,
CEKG565,G1752-204-052,73.55,20.08112,32.38,0.192,10.52,46.16,-0.08,0.1,7.275,3948.5,51.7,52.7,43.3,72.6,312.05,423.5,0.8,
CEKH157,G1752-204-029,63.3,18.27291,27.72,0.225,10.54,49.74,-0.2,0.07,8.888,3948.9,52.8,53.4,42.4,65.6,315.77,393.7,0.6,
CEKG603,G1752-204-052,78.32,17.00768,30.67,0.167,10.54,50.18,-0.05,0.28,7.82,3946.5,53.2,54,41.2,71,365.91,432.5,0.7,
CEKG574,G1752-204-052,69.31,17.36219,32.39,0.199,10.54,42.92,-0.07,0.19,7.263,3943.1,52.7,53.3,42.9,71.3,334.62,413.4,0.7,
CEKK159,G1752-204-026,55.8,15.04692,27.11,0.247,10.54,51.08,-0.05,0.29,9.121,3946.1,52.4,53.6,41.6,73.1,339.78,356.5,0.6,
CEKF377,G1752-204-054,60.81,15.41537,27.26,0.225,10.51,52.51,-0.01,0.14,9.05,3941.6,52.2,53.4,42,73.4,366.17,447.3,0.8,
CEKH423,G1752-204-061,57.05,16.99502,30.43,0.255,10.55,52.97,-0.06,0.07,7.915,3953.8,52.5,53.5,42.4,72.1,363.39,386.8,1,
CEJF711,G1752-204-054,67.82,18.46358,31.63,0.206,10.52,51.14,-0.18,0.04,7.526,3957.6,52.3,53.3,42.6,71.7,319.54,345.8,0.8,
CEKK206,G1752-204-054,58.81,16.59988,29.52,0.242,10.52,51.54,-0.23,0.2,8.227,3951.9,52.1,53.1,43,72.2,352.44,433.8,0.8,
CEKK109,G1752-204-026,50.79,15.85942,27.11,0.292,10.51,46.79,-0.03,0.06,9.121,3946.1,52.8,53.8,42.9,70.9,318.63,271.3,0.6,
CEKK151,G1752-204-026,59.55,16.09136,30.28,0.239,10.55,47.77,-0.02,0.06,7.952,3946.7,53,53.9,41.2,73.3,329.7,507,0.6,
CEKK040,G1752-204-029,65.29,15.68703,26.46,0.209,10.52,51.78,-0.06,0.1,9.365,3938.8,52.8,54.1,40.8,73.9,372.2,526.9,1,
CEKK150,G1752-204-026,60.55,15.66301,29.57,0.232,10.55,52.09,-0.14,0.14,8.194,3944.6,52.8,54.1,41.2,71.7,353.6,497.6,0.7,
CEKK009,G1752-204-029,61.03,15.74198,27.15,0.225,10.5,51.18,-0.18,0.22,9.11,3948,52.4,53.6,41.8,73,329.2,349.1,0.6,
CEKK020,G1752-204-029,66.79,19.03428,29.82,0.215,10.54,51.78,-0.07,0.05,8.12,3951.2,53,53.8,41.4,73.1,346.01,498.1,0.6,
CEKK064,G1752-204-029,54.3,12.82261,26.73,0.244,10.52,50.02,-0.03,0.04,9.278,3947.5,53,53.3,41.1,71.1,318.85,466.2,0.7,
CEKG513,G1752-204-029,57.28,14.45311,30.52,0.235,10.52,49.5,-0.14,0.12,7.878,3950.5,52.4,53.4,41.6,72.2,361.89,364.2,1.2,
CEKG505,G1752-204-029,58.29,16.63085,30.32,0.238,10.5,48.46,-0.14,0.12,7.953,3954.1,52.8,53.4,41.1,72.2,338.63,352.6,0.8,
CEKH134,G1752-204-029,67.53,18.95187,30.85,0.211,10.52,42.04,-0.27,0.21,7.746,3939,53,53.3,41.9,71.1,361.48,550.9,0.7,
CEI5925,G1752-204-023,90.33,16.3881,21.96,0.14,10.52,51.78,-0.02,0.15,11.473,3946.3,53.6,54.4,39.5,74.9,386.65,553.4,0.7,
CEKK042,G1752-204-029,62.05,16.91737,27.99,0.23,10.53,53.11,-0.16,0.15,8.773,3944.3,52.3,53.3,42.1,72.3,327.6,445.1,0.6,
CEKH320,G1752-204-052,56.54,11.32431,26.25,0.227,10.52,53.74,-0.17,0.19,9.45,3938.2,52.8,53.9,42.7,72.1,332.17,349.3,0.7,
CEKH334,G1752-204-052,56.81,11.33109,25.52,0.226,10.54,54.21,-0.2,0.13,9.764,3940,51.7,53.1,43,71.9,362.84,489.5,0.8,
CEH5242,G1752-204-023,84.08,17.1856,25.06,0.155,10.5,52.89,-0.05,0.07,9.962,3939.1,53.4,54.4,41.1,72.9,342.57,460.1,0.7,
CEK4762,G1752-204-054,54.54,11.49447,28.53,0.238,10.51,54.42,-0.27,0.06,8.586,3951.4,52.7,54,43.7,72.9,329.55,383.5,0.4,
CEJR016,G1752-204-025,68.56,15.06248,26.67,0.192,10.5,51.8,-0.21,0.02,9.293,3944,51.9,53.1,41.8,73.4,348.44,332.5,0.8,
CEKK072,G1752-204-029,76.08,17.8005,28.81,0.172,10.54,49.78,-0.23,0.24,8.479,3949.9,53,53.3,39.9,72.1,369.39,586,0.6,
CEKH190,G1752-204-029,65.06,16.93841,30.6,0.213,10.53,50.01,-0.17,0.07,7.843,3946.3,53.4,54.6,40.6,74.4,364.9,485.8,1,
CEKK065,G1752-204-029,61.8,14.82318,27.58,0.218,10.53,52.18,-0.17,0.18,8.93,3943.8,53,54.1,41.1,71.6,343.42,494.4,0.6,
CEKK045,G1752-204-029,63.81,16.83097,29.87,0.22,10.51,51.45,-0.12,0.04,8.083,3941.7,51.9,53.4,42.3,72.5,341.57,527.2,0.7,
CEKK035,G1752-204-029,75.32,20.13802,24.66,0.185,10.53,48.17,-0.08,0.08,10.15,3942.1,53.5,54.3,40.1,71.9,345.94,460.9,0.6,
CEKJ198,G1752-204-029,63.06,17.08304,27.06,0.224,10.54,47.17,-0.1,0.08,9.126,3940.3,53.5,53.8,41.2,71.4,341.42,455.5,0.9,
CEKH460,G1752-204-062,97.84,21.32159,30.49,0.135,10.53,50.67,-0.21,0.17,7.878,3945.2,52.8,53.6,42.4,72.3,355.98,672.6,1,
